"Date","positive_score","negative_score","stock_price"
2017-08-01,0.0616,0.0759,75.529999
2017-08-02,0.0615,0.0741,76.620003
2017-08-03,0.0619,0.0773,74.860001
2017-08-04,0.0652,0.0748,75.029999
2017-08-05,0.0594,0.0713,NA
2017-08-06,0.0631,0.0778,NA
2017-08-07,0.061,0.0709,74.989998
2017-08-08,0.0615,0.0673,74.199997
2017-08-09,0.065,0.0779,75.07
2017-08-10,0.0562,0.0697,75.360001
2017-08-11,0.0634,0.0652,75.559998
2017-08-12,0.0577,0.0743,NA
2017-08-13,0.059,0.0699,NA
2017-08-14,0.0593,0.0772,76.279999
2017-08-15,0.0547,0.0745,76.389999
2017-08-16,0.0568,0.0747,76.419998
2017-08-17,0.0558,0.0644,75.540001
2017-08-18,0.0791,0.0608,75.410004
2017-08-19,0.0815,0.0639,NA
2017-08-20,0.0812,0.0675,NA
2017-08-21,0.0831,0.0657,75.849998
2017-08-22,0.0835,0.0633,76.550003
2017-08-23,0.0828,0.0683,76.410004
2017-08-24,0.0778,0.068,76.260002
2017-08-25,0.0729,0.0714,75.830002
2017-08-26,0.0765,0.0661,NA
2017-08-27,0.07,0.071,NA
2017-08-28,0.0664,0.071,76.209999
2017-08-29,0.0675,0.0734,76.089996
2017-08-30,0.0656,0.0704,76.019997
2017-08-31,0.0712,0.0736,76.82
2017-09-01,0.0642,0.0766,76.629997
2017-09-02,0.0614,0.0773,NA
2017-09-03,0.0621,0.0808,NA
2017-09-04,0.0631,0.0748,NA
2017-09-05,0.0606,0.0787,76.32
2017-09-06,0.0596,0.0842,76.209999
2017-09-07,0.0449,0.0845,76.470001
2017-09-08,0.0543,0.0837,76.480003
2017-09-09,0.0561,0.0826,NA
2017-09-10,0.0602,0.0799,NA
2017-09-11,0.0644,0.0868,77.800003
2017-09-12,0.0637,0.0823,77.169998
2017-09-13,0.0606,0.0762,77.129997
2017-09-14,0.0696,0.0798,77.160004
2017-09-15,0.0625,0.0684,75.25
2017-09-16,0.0576,0.0761,NA
2017-09-17,0.0523,0.0784,NA
2017-09-18,0.0634,0.0751,75.709999
2017-09-19,0.0497,0.0691,75.760002
2017-09-20,0.0657,0.0659,76.370003
2017-09-21,0.0629,0.0819,76.480003
2017-09-22,0.0623,0.0773,75.970001
2017-09-23,0.0614,0.0796,NA
2017-09-24,0.0593,0.0816,NA
2017-09-25,0.0628,0.0777,73.949997
2017-09-26,0.0689,0.0808,73.400002
2017-09-27,0.0669,0.0745,73.099998
2017-09-28,0.0577,0.076,73.5
2017-09-29,0.0597,0.0662,73.610001
2017-09-30,0.0607,0.0795,NA
2017-10-01,0.0613,0.0749,NA
2017-10-02,0.058,0.0689,73.75
2017-10-03,0.0595,0.0588,73.919998
2017-10-04,0.0608,0.0655,74.099998
2017-10-05,0.0711,0.0839,74.580002
2017-10-06,0.0634,0.0766,75.93
2017-10-07,0.0601,0.0831,NA
2017-10-08,0.0654,0.0819,NA
2017-10-09,0.0619,0.08,76
2017-10-10,0.0667,0.0766,76.18
2017-10-11,0.0545,0.0707,76.639999
2017-10-12,0.0611,0.078,76.410004
2017-10-13,0.06,0.0794,76.199997
2017-10-14,0.0637,0.0816,NA
2017-10-15,0.0667,0.0811,NA
2017-10-16,0.0708,0.0775,76.209999
2017-10-17,0.0723,0.081,76.190002
2017-10-18,0.0642,0.0778,76.019997
2017-10-19,0.0692,0.0816,75.82
2017-10-20,0.0609,0.0757,76.169998
2017-10-21,0.0611,0.0772,NA
2017-10-22,0.0609,0.083,NA
2017-10-23,0.0523,0.0629,75.550003
2017-10-24,0.0577,0.0672,75.339996
2017-10-25,0.0607,0.0783,74.669998
2017-10-26,0.0675,0.0694,75.870003
2017-10-27,0.068,0.0766,75.239998
2017-10-28,0.0711,0.0776,NA
2017-10-29,0.0652,0.079,NA
2017-10-30,0.0632,0.0813,74.959999
2017-10-31,0.059,0.0657,74.449997
