Date,Total Words,Positive Words,Negative Words,Positive Score,Negative Score
2015-08-01,17561,886,1042,0.0505,0.0593
2015-08-02,17357,980,1274,0.0565,0.0734
2015-08-03,17776,963,1371,0.0542,0.0771
2015-08-04,19094,817,1179,0.0428,0.0617
2015-08-05,20758,747,1244,0.036,0.0599
2015-08-06,16149,963,1145,0.0596,0.0709
2015-08-07,21234,1555,1513,0.0732,0.0713
2015-08-08,16357,993,1204,0.0607,0.0736
2015-08-09,18012,929,1082,0.0516,0.0601
2015-08-10,17651,1142,1169,0.0647,0.0662
2015-08-11,16811,1080,1262,0.0642,0.0751
2015-08-12,16164,945,1140,0.0585,0.0705
2015-08-13,16139,1014,1151,0.0628,0.0713
2015-08-14,15738,1013,1101,0.0644,0.07
2015-08-15,15338,1016,1171,0.0662,0.0763
2015-08-16,15530,1003,1251,0.0646,0.0806
2015-08-17,16813,916,1050,0.0545,0.0625
2015-08-18,16223,1010,1112,0.0623,0.0685
2015-08-19,16381,957,1145,0.0584,0.0699
2015-08-20,15245,976,1178,0.064,0.0773
2015-08-21,15632,963,1186,0.0616,0.0759
2015-08-22,15334,961,1173,0.0627,0.0765
2015-08-23,15349,959,1122,0.0625,0.0731
2015-08-24,15212,994,1150,0.0653,0.0756
2015-08-25,15078,944,1230,0.0626,0.0816
2015-08-26,15452,1077,1184,0.0697,0.0766
2015-08-27,15354,1004,1162,0.0654,0.0757
2015-08-28,16341,1086,1226,0.0665,0.075
2015-08-29,14879,901,1108,0.0606,0.0745
2015-08-30,14652,853,1098,0.0582,0.0749
2015-08-31,15208,890,1158,0.0585,0.0761
2015-09-01,15115,1041,1201,0.0689,0.0795
2015-09-02,19244,1303,1366,0.0677,0.071
2015-09-03,17226,1178,1245,0.0684,0.0723
2015-09-04,16298,1064,1244,0.0653,0.0763
2015-09-05,15296,975,1127,0.0637,0.0737
2015-09-06,15080,922,1127,0.0611,0.0747
2015-09-07,15397,1018,1135,0.0661,0.0737
2015-09-08,16596,1067,1167,0.0643,0.0703
2015-09-09,15915,964,1240,0.0606,0.0779
2015-09-10,15331,982,1198,0.0641,0.0781
2015-09-11,15926,973,1104,0.0611,0.0693
2015-09-12,15514,961,1179,0.0619,0.076
2015-09-13,14925,819,1083,0.0549,0.0726
2015-09-14,15390,948,1166,0.0616,0.0758
2015-09-15,20589,1105,1092,0.0537,0.053
2015-09-16,17376,1020,1116,0.0587,0.0642
2015-09-17,18108,1357,1121,0.0749,0.0619
2015-09-18,18966,1576,1158,0.0831,0.0611
2015-09-19,2955,201,207,0.068,0.0701
2015-09-20,15758,945,1123,0.06,0.0713
2015-09-21,16019,977,1180,0.061,0.0737
2015-09-22,15933,882,1127,0.0554,0.0707
2015-09-23,17079,885,1298,0.0518,0.076
2015-09-24,18733,1356,1229,0.0724,0.0656
2015-09-25,17310,1114,1188,0.0644,0.0686
2015-09-26,16343,1062,1187,0.065,0.0726
2015-09-27,16249,1011,1207,0.0622,0.0743
2015-09-28,17977,1074,1099,0.0597,0.0611
2015-09-29,16415,973,1069,0.0593,0.0651
2015-09-30,16241,1018,1170,0.0627,0.072
2015-10-01,17161,1076,1117,0.0627,0.0651
2015-10-02,16481,1034,1080,0.0627,0.0655
2015-10-03,15837,981,1120,0.0619,0.0707
2015-10-04,15804,952,1146,0.0602,0.0725
2015-10-05,15633,908,1091,0.0581,0.0698
2015-10-06,16886,999,1282,0.0592,0.0759
2015-10-07,16765,1040,1194,0.062,0.0712
2015-10-08,16275,968,1158,0.0595,0.0712
2015-10-09,17278,1203,1269,0.0696,0.0734
2015-10-10,16032,941,1107,0.0587,0.069
2015-10-11,15903,981,1147,0.0617,0.0721
2015-10-12,16318,995,1230,0.061,0.0754
2015-10-13,15857,982,1157,0.0619,0.073
2015-10-14,16273,975,1191,0.0599,0.0732
2015-10-15,17122,1145,1133,0.0669,0.0662
2015-10-16,16946,1065,1265,0.0628,0.0746
2015-10-17,10940,671,824,0.0613,0.0753
2015-10-18,15946,899,1127,0.0564,0.0707
2015-10-19,16309,992,1151,0.0608,0.0706
2015-10-20,16399,980,1219,0.0598,0.0743
2015-10-21,16666,1065,1177,0.0639,0.0706
2015-10-22,16905,1083,1172,0.0641,0.0693
2015-10-23,16745,1086,1214,0.0649,0.0725
2015-10-24,16331,988,1186,0.0605,0.0726
2015-10-25,15836,907,1138,0.0573,0.0719
2015-10-26,19713,1232,1241,0.0625,0.063
2015-10-27,17688,1226,1290,0.0693,0.0729
2015-10-28,18311,1201,1282,0.0656,0.07
2015-10-29,17149,1099,1190,0.0641,0.0694
2015-10-30,16466,1001,1131,0.0608,0.0687
2015-10-31,18209,1164,1316,0.0639,0.0723
