Date,Total Words,Positive Words,Negative Words,Positive Score,Negative Score
8/1/15,13585,1088,1180,0.0801,0.0869
8/2/15,16308,899,1135,0.0551,0.0696
8/3/15,13052,968,1068,0.0742,0.0818
8/4/15,13738,1016,1242,0.074,0.0904
8/5/15,13378,922,1180,0.0689,0.0882
8/6/15,13274,968,1211,0.0729,0.0912
8/7/15,13305,1089,1205,0.0818,0.0906
8/8/15,13312,1000,1165,0.0751,0.0875
8/9/15,12889,944,1157,0.0732,0.0898
8/10/15,13243,984,1123,0.0743,0.0848
8/11/15,13685,1004,1233,0.0734,0.0901
8/12/15,13301,979,1094,0.0736,0.0822
8/13/15,14726,988,1237,0.0671,0.084
8/14/15,13682,934,1222,0.0683,0.0893
8/15/15,14159,913,1248,0.0645,0.0881
8/16/15,13062,1035,1241,0.0792,0.095
8/17/15,13558,926,1067,0.0683,0.0787
8/18/15,13621,949,1213,0.0697,0.0891
8/19/15,12944,963,1035,0.0744,0.08
8/20/15,12835,999,1168,0.0778,0.091
8/21/15,13653,1007,1204,0.0738,0.0882
8/22/15,12785,962,1073,0.0752,0.0839
8/23/15,13042,978,1212,0.075,0.0929
8/24/15,14981,1098,1207,0.0733,0.0806
8/25/15,14479,970,1092,0.067,0.0754
8/26/15,13458,1038,1163,0.0771,0.0864
8/27/15,13556,989,1115,0.073,0.0823
8/28/15,13221,992,1130,0.075,0.0855
8/29/15,12692,968,1076,0.0763,0.0848
8/30/15,12588,911,1179,0.0724,0.0937
8/31/15,15182,1190,1250,0.0784,0.0823
9/1/15,14649,983,1345,0.0671,0.0918
9/2/15,13505,919,1145,0.068,0.0848
9/3/15,14684,898,1276,0.0612,0.0869
9/4/15,14363,1053,1284,0.0733,0.0894
9/5/15,13166,1074,1090,0.0816,0.0828
9/6/15,13046,874,1088,0.067,0.0834
9/7/15,13410,907,1028,0.0676,0.0767
9/8/15,13585,939,1122,0.0691,0.0826
9/9/15,13707,976,1214,0.0712,0.0886
9/10/15,13993,843,1199,0.0602,0.0857
9/11/15,14983,911,1305,0.0608,0.0871
9/12/15,12834,815,1145,0.0635,0.0892
9/13/15,12250,1016,1087,0.0829,0.0887
9/14/15,483,39,43,0.0807,0.089
9/15/15,14799,1077,1123,0.0728,0.0759
9/16/15,14415,1024,1194,0.071,0.0828
9/17/15,13673,998,1161,0.073,0.0849
9/18/15,13454,1013,1138,0.0753,0.0846
9/19/15,12594,938,1056,0.0745,0.0838
9/20/15,12916,868,1124,0.0672,0.087
9/21/15,13378,968,1179,0.0724,0.0881
9/22/15,13927,1256,1210,0.0902,0.0869
9/23/15,13086,1038,1208,0.0793,0.0923
9/24/15,13798,953,1180,0.0691,0.0855
9/25/15,14008,997,1142,0.0712,0.0815
9/26/15,13288,965,1132,0.0726,0.0852
9/27/15,13239,996,1045,0.0752,0.0789
9/28/15,13906,1026,1210,0.0738,0.087
9/29/15,14111,1026,1212,0.0727,0.0859
9/30/15,13217,970,1148,0.0734,0.0869
10/1/15,13859,980,1206,0.0707,0.087
10/2/15,13155,884,1076,0.0672,0.0818
10/3/15,12752,888,1082,0.0696,0.0848
10/4/15,12522,941,1113,0.0751,0.0889
10/5/15,13344,928,1083,0.0695,0.0812
10/6/15,13762,1022,1211,0.0743,0.088
10/7/15,13726,1039,1191,0.0757,0.0868
10/8/15,14235,1026,1318,0.0721,0.0926
10/9/15,13440,970,1193,0.0722,0.0888
10/10/15,13506,919,1152,0.068,0.0853
10/11/15,13326,886,1192,0.0665,0.0894
10/12/15,13690,1003,1115,0.0733,0.0814
10/13/15,13750,949,1125,0.069,0.0818
10/14/15,13530,962,1102,0.0711,0.0814
10/15/15,14532,1081,1240,0.0744,0.0853
10/16/15,13732,976,1196,0.0711,0.0871
10/17/15,13033,871,1037,0.0668,0.0796
10/18/15,12918,953,1071,0.0738,0.0829
10/19/15,13509,976,1161,0.0722,0.0859
10/20/15,15728,809,1305,0.0514,0.083
10/21/15,14152,1037,1186,0.0733,0.0838
10/22/15,16132,1139,1248,0.0706,0.0774
10/23/15,13592,964,1240,0.0709,0.0912
10/24/15,12941,881,1092,0.0681,0.0844
10/25/15,13105,901,1070,0.0688,0.0816
10/26/15,13150,941,1141,0.0716,0.0868
10/27/15,13600,1022,1151,0.0751,0.0846
10/28/15,12866,912,1072,0.0709,0.0833
10/29/15,13310,968,1169,0.0727,0.0878
10/30/15,14488,957,1283,0.0661,0.0886
10/31/15,14676,951,1092,0.0648,0.0744
