Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,75.820000,76.320000,75.290001,75.529999,75.245834,1814500
2017-08-02,75.430000,76.620003,75.389999,76.620003,76.331741,2107200
2017-08-03,75.180000,76.470001,74.510002,74.860001,74.578362,3217900
2017-08-04,75.029999,75.070000,74.190002,75.029999,74.747719,2272100
2017-08-07,75.019997,75.040001,74.389999,74.989998,74.707870,1719700
2017-08-08,74.709999,74.870003,74.150002,74.199997,73.920837,1409500
2017-08-09,74.129997,75.110001,73.769997,75.070000,74.787567,1837200
2017-08-10,74.800003,75.750000,74.580002,75.360001,75.076477,2259600
2017-08-11,75.449997,76.139999,75.269997,75.559998,75.275719,2183900
2017-08-14,76.099998,76.470001,75.820000,76.279999,75.993011,2119400
2017-08-15,76.370003,76.599998,76.070000,76.389999,76.102600,1480400
2017-08-16,76.459999,77.129997,76.250000,76.419998,76.132484,1499000
2017-08-17,76.260002,76.839996,75.529999,75.540001,75.255798,1697200
2017-08-18,75.440002,75.730003,75.000000,75.410004,75.126289,2053600
2017-08-21,75.599998,76.110001,75.430000,75.849998,75.564629,1225300
2017-08-22,76.010002,76.709999,75.900002,76.550003,76.262001,1215500
2017-08-23,76.349998,76.599998,76.029999,76.410004,76.122528,1344000
2017-08-24,76.540001,76.580002,76.029999,76.260002,75.973091,1118200
2017-08-25,76.570000,76.589996,75.809998,75.830002,75.544708,1188800
2017-08-28,76.129997,76.260002,75.690002,76.209999,75.923279,1262800
2017-08-29,76.010002,76.160004,75.680000,76.089996,75.803726,1203300
2017-08-30,76.050003,76.500000,75.830002,76.019997,75.733994,1657700
2017-08-31,76.099998,76.930000,75.839996,76.820000,76.530983,1934700
2017-09-01,76.989998,77.480003,76.540001,76.629997,76.341698,1373900
2017-09-05,76.260002,76.870003,76.199997,76.320000,76.032867,2211200
2017-09-06,76.389999,76.510002,75.809998,76.209999,75.923279,1596000
2017-09-07,76.309998,76.820000,76.150002,76.470001,76.182304,1224400
2017-09-08,76.419998,77.089996,76.349998,76.480003,76.192268,1375600
2017-09-11,76.820000,78.139999,76.750000,77.800003,77.507301,1675200
2017-09-12,77.709999,77.910004,76.809998,77.169998,76.879669,1809900
2017-09-13,77.099998,77.580002,76.900002,77.129997,76.839813,1340700
2017-09-14,77.209999,77.580002,76.989998,77.160004,76.869705,1802400
2017-09-15,77.220001,77.220001,75.220001,75.250000,74.966888,5742900
2017-09-18,75.360001,75.970001,75.349998,75.709999,75.425163,2193500
2017-09-19,75.709999,75.830002,75.040001,75.760002,75.474976,1444300
2017-09-20,75.910004,76.639999,75.889999,76.370003,76.082680,1520300
2017-09-21,76.550003,76.690002,76.169998,76.480003,76.192268,1270100
2017-09-22,76.480003,76.480003,75.790001,75.970001,75.684181,1451900
2017-09-25,75.570000,75.570000,73.379997,73.949997,73.671776,3807100
2017-09-26,73.970001,74.129997,73.309998,73.400002,73.123856,2306700
2017-09-27,73.410004,73.750000,72.680000,73.099998,72.824982,3166400
2017-09-28,72.660004,73.699997,72.610001,73.500000,73.223473,2410200
2017-09-29,73.500000,73.940002,73.209999,73.610001,73.333061,1942300
2017-10-02,73.370003,74.019997,73.370003,73.750000,73.472534,2155000
2017-10-03,73.809998,74.389999,73.809998,73.919998,73.641891,1980200
2017-10-04,74.029999,74.320000,73.919998,74.099998,73.821213,1420500
2017-10-05,74.110001,74.910004,74.000000,74.580002,74.299416,1704100
2017-10-06,74.730003,76.169998,74.570000,75.930000,75.644333,2748400
2017-10-09,75.949997,76.290001,75.610001,76.000000,75.714066,1439100
2017-10-10,76.080002,76.739998,75.739998,76.180000,75.893394,1402700
2017-10-11,76.199997,77.029999,76.199997,76.639999,76.351662,1797300
2017-10-12,76.500000,76.849998,76.279999,76.410004,76.122528,1676100
2017-10-13,76.470001,76.500000,75.879997,76.199997,75.913315,1536200
2017-10-16,76.510002,76.779999,75.940002,76.209999,75.923279,1490300
2017-10-17,76.110001,76.790001,76.040001,76.190002,75.903358,1410700
2017-10-18,76.370003,76.660004,76.000000,76.019997,75.733994,1292700
2017-10-19,75.940002,76.160004,75.199997,75.820000,75.534744,1727000
2017-10-20,76.050003,76.169998,75.709999,76.169998,75.883430,1271300
2017-10-23,76.269997,76.379997,75.529999,75.550003,75.265762,1694600
2017-10-24,75.559998,75.739998,75.220001,75.339996,75.056549,1398800
2017-10-25,75.000000,75.309998,74.180000,74.669998,74.389069,2007600
2017-10-26,75.209999,76.150002,75.209999,75.870003,75.584564,1829900
2017-10-27,75.989998,76.050003,75.129997,75.239998,74.956924,2097900
2017-10-30,74.919998,75.169998,74.339996,74.959999,74.677979,2026000
2017-10-31,74.820000,75.150002,74.389999,74.449997,74.169899,1945300
