Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,63.292595,63.436378,62.631199,63.134438,59.969173,1493600
2015-08-04,63.263840,63.767075,63.105679,63.400433,60.221832,1403800
2015-08-05,63.953991,64.435661,63.587349,64.011505,60.802261,1395200
2015-08-06,64.176849,64.464417,62.897198,63.098492,59.935032,2037700
2015-08-07,62.868439,63.012222,62.271748,62.983463,59.825764,1441600
2015-08-10,63.457943,63.874908,63.055355,63.134438,59.969173,1289200
2015-08-11,62.156723,62.156723,59.669304,60.057514,57.046513,9646700
2015-08-12,58.936016,58.950394,56.592381,58.001438,55.093513,16536400
2015-08-13,58.590942,61.171818,58.454350,60.244427,57.224052,7852400
2015-08-14,60.064701,60.496044,59.676491,60.093456,57.080650,3746200
2015-08-17,59.568657,61.603165,59.324226,61.128685,58.063980,6031300
2015-08-18,60.891445,61.179008,60.316319,60.531990,57.497196,4528400
2015-08-19,61.473759,62.350826,60.977715,61.890728,58.787811,9958400
2015-08-20,61.250900,61.524082,58.741913,58.820992,55.871979,7727900
2015-08-21,58.260246,58.641266,56.937454,57.296909,54.424309,8754300
2015-08-24,53.120056,56.786484,51.322788,55.492451,52.710320,10431600
2015-08-25,57.002155,57.102802,54.658520,54.708843,51.965996,6327700
2015-08-26,56.046009,57.419125,55.046730,57.282532,54.410656,4562300
2015-08-27,57.584473,59.633358,57.584473,59.144501,56.179272,5252800
2015-08-28,59.043854,59.489574,58.425594,58.820992,55.871979,2925300
2015-08-31,58.224300,58.461540,57.296909,57.347233,54.472107,2937400
2015-09-01,55.787205,57.189072,55.715313,56.865562,54.014595,6239700
2015-09-02,57.541336,57.706684,56.592381,57.706684,54.813541,4645100
2015-09-03,57.987061,58.195541,57.340042,57.670742,54.779404,1817700
2015-09-04,56.815239,57.181885,56.204170,56.714592,53.871189,2121500
2015-09-08,58.102085,58.914452,57.857655,58.777859,55.831009,3133400
2015-09-09,59.525520,60.021568,58.123653,58.245865,55.325687,3245400
2015-09-10,58.080517,58.389648,57.138748,57.440689,54.560883,4397600
2015-09-11,57.512581,58.569374,57.239395,58.540619,55.605663,3778700
2015-09-14,58.360893,58.519051,57.915169,58.195541,55.277889,2546500
2015-09-15,58.454350,59.453632,57.836090,59.252335,56.281700,2296100
2015-09-16,59.166069,59.813084,58.670021,59.719627,56.725563,3700400
2015-09-17,59.618980,60.316319,59.245148,59.647736,56.657284,3748000
2015-09-18,58.396835,59.065422,57.404743,57.620419,54.731594,5445000
2015-09-21,57.872036,58.030193,57.002155,57.821712,54.922798,3671300
2015-09-22,57.153126,57.534149,56.743351,57.009346,54.151161,3661400
2015-09-23,57.023724,57.246586,56.383896,56.736160,53.891674,2681300
2015-09-24,56.470165,56.470165,55.564342,56.304817,53.481956,3047600
2015-09-25,56.973400,57.296909,56.232925,56.506111,53.673161,3375500
2015-09-28,56.074768,56.225739,54.579441,54.636951,51.897713,4070300
2015-09-29,54.766354,54.931705,54.090584,54.744789,52.000137,4327000
2015-09-30,55.729691,57.692307,55.132999,57.476635,54.595024,5294400
2015-10-01,57.519772,57.893600,56.793674,57.419125,54.540398,4426700
2015-10-02,56.319195,58.878506,56.319195,58.662834,55.721752,7719700
2015-10-05,59.388927,59.884975,58.519051,59.705250,56.711906,5737700
2015-10-06,59.539898,60.057514,58.971962,59.971245,56.964561,16157400
2015-10-07,50.186916,50.970524,48.310570,48.677212,46.236767,51106300
2015-10-08,48.245865,49.101364,47.699497,48.497482,46.066051,18215500
2015-10-09,48.526241,50.625450,48.454350,50.503235,47.971241,13699200
2015-10-12,50.682961,51.531273,50.575127,50.927391,48.374130,9786700
2015-10-13,50.661396,51.380302,50.201294,50.309132,47.786869,7161400
2015-10-14,50.000000,50.381020,49.115746,49.302658,47.140728,6023400
2015-10-15,49.590221,49.928108,48.878506,49.798706,47.615017,6565900
2015-10-16,51.042416,51.962616,50.158161,51.876347,49.601559,13515300
2015-10-19,51.560028,51.682243,51.128685,51.552841,49.292240,5294900
2015-10-20,53.932423,54.076202,52.444286,52.501797,50.199585,21385600
2015-10-21,52.624012,53.501080,52.185478,52.882816,50.563896,8563800
2015-10-22,53.306973,53.637672,52.135155,52.250179,49.958996,5440600
2015-10-23,52.803738,52.803738,51.926670,52.401150,50.103352,4006600
2015-10-26,52.185478,53.544212,52.171101,53.328541,50.990070,3559300
2015-10-27,53.170380,53.321350,52.278934,52.602444,50.295815,2638900
2015-10-28,52.624012,53.120056,51.689430,52.458664,50.158344,3767500
2015-10-29,52.415527,52.480228,51.912292,52.127964,49.842148,2291200
2015-10-30,52.264557,52.264557,50.682961,50.977715,48.742329,6806000
